City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
394,Bandarbeyla,SO,76.78,overcast clouds,9.4942,50.8122,JABIR HOTEL
395,Prainha,BR,77.68,overcast clouds,-1.8,-53.48,Casa Rocha
399,Dongli,CN,87.78,few clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
401,Gohpur,IN,82.8,scattered clouds,26.8833,93.6333,Murchana Music
405,Yatou,CN,77.36,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
406,Coos Bay,US,75.31,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
409,Barabai,ID,84.42,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
410,Vanderhoof,CA,89.42,clear sky,54.0166,-124.0198,Vanderhoof Inn
412,Sao Filipe,CV,78.46,broken clouds,14.8961,-24.4956,Hotel Xaguate
415,Tutoia,BR,77.13,few clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
416,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
417,Qui Nhon,VN,85.62,few clouds,13.7667,109.2333,Seagull Hotel
422,Peleduy,RU,80.15,broken clouds,59.6289,112.7406,Гостиница «Уют»
426,Axim,GH,75.99,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
430,Berezovyy,RU,79.41,overcast clouds,51.6667,135.7,"Hotel ""Phoenix"""
433,Nurpur,IN,84.83,scattered clouds,29.15,78.4167,AVNEESH KUMAR
443,Marawi,PH,80.42,broken clouds,7.9986,124.2928,Derogongan Residence
445,Sawankhalok,TH,82.29,few clouds,17.316,99.8319,Boon Bunleng Resort
453,San Policarpo,PH,83.41,overcast clouds,12.1791,125.5072,Agapita M. Nicart
454,High Rock,BS,82.81,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
455,Atambua,ID,79.05,broken clouds,-9.1061,124.8925,Kost Alfa Flat
457,Tura,IN,79.16,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
458,Hun,LY,77.72,clear sky,29.1268,15.9477,Alrwasi Hotel
459,Meadow Lake,US,80.04,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
460,Sainte-Maxime,FR,75.18,clear sky,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
464,Ayagoz,KZ,82.51,few clouds,47.9714,80.4392,ХАН
466,Itoman,JP,86.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
468,Rosetta,EG,76.78,clear sky,31.4044,30.4164,Green Valley
469,Tripoli,LY,82.44,clear sky,32.8752,13.1875,Al Waddan Hotel
472,Vanimo,PG,86.05,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
477,Corinto,GR,76.89,clear sky,37.9407,22.9573,Ephira Hotel
478,Sena Madureira,BR,78.84,broken clouds,-9.0656,-68.6569,Hotel Central
485,Port Hardy,CA,75.38,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
487,Havelock,US,84.16,broken clouds,34.8791,-76.9013,Sherwood Motel
488,Cockburn Town,TC,81.23,clear sky,21.4612,-71.1419,Osprey Beach Hotel
492,Poso,ID,85.39,broken clouds,-1.3959,120.7524,Hotel 77 Poso
493,Faanui,PF,78.69,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
494,Gushikawa,JP,85.62,light intensity shower rain,26.3544,127.8686,Kirari Guest House
499,Guozhen,CN,82.78,clear sky,34.3659,107.359,Yucai Hotel
502,Daru,PG,78.22,scattered clouds,-9.0763,143.2092,Daru Lodge
503,Zhangye,CN,82.45,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
505,Magdalena,PH,83.35,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
510,Turbat,PK,80.58,overcast clouds,26.0023,63.044,Mubashar Quarters
511,Sarangani,PH,83.03,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
512,Baracoa,CU,79.34,broken clouds,20.3467,-74.4958,Hostal Rio Miel
513,Mingaora,PK,76.33,overcast clouds,34.7758,72.3625,Burj Al Swat
516,Matay,EG,80.13,clear sky,28.419,30.7792,Nag Aespen
518,Rurrenabaque,BO,78.53,overcast clouds,-14.4413,-67.5278,Casa de Campo
525,Linjiang,CN,84.63,overcast clouds,41.8069,126.9078,格林豪泰
528,Jati,PK,81.21,broken clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
534,Koutsouras,GR,80.11,clear sky,35.0339,25.9469,The White Houses
535,Abu Kamal,SY,87.33,clear sky,34.4506,40.9171,البوكمال
536,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
537,Madison,US,87.6,scattered clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
539,Chabahar,IR,82.17,overcast clouds,25.2919,60.643,هتل گدروشیا
540,Lazaro Cardenas,MX,81.1,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
541,Hatillo,PR,77.79,few clouds,18.4863,-66.8254,El Buen Hotel
542,Cottonwood,US,83.35,light rain,34.7392,-112.0099,Pines Inn & Suites
543,Castelo Do Piaui,BR,79.05,overcast clouds,-5.3222,-41.5525,Nobre Hotel
546,Teknaf,BD,84.0,broken clouds,20.8624,92.3058,Forestry Guesthouse
548,Takahagi,JP,86.09,overcast clouds,36.7167,140.7167,Matsushimakan
552,Griffith,US,79.9,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
553,Aquiraz,BR,79.18,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
558,Salinas,US,77.81,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
559,Hamilton,US,78.85,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
560,Kupang,ID,82.9,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
561,Baripada,IN,84.96,overcast clouds,21.935,86.7214,Aparna Hotel
562,Sibu,MY,82.71,few clouds,2.3,111.8167,RH HOTEL (4 Star)
563,Guanica,PR,79.92,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
567,Mantua,IT,75.81,clear sky,45.1667,10.7833,Hotel la Favorita
570,Mashhad,IR,77.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
571,Chalmette,US,87.01,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
572,Sinnamary,GF,77.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
573,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
575,Srivardhan,IN,79.07,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
576,Laguna De Perlas,NI,77.68,overcast clouds,12.3429,-83.6712,Hotel Best View
579,Zhigansk,RU,77.58,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
584,Natal,BR,75.42,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
585,Salina,US,87.93,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
586,San Pedro,PH,86.36,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
588,Feijo,BR,76.03,scattered clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
591,Sola,VU,79.86,light rain,-13.8833,167.55,Leumerus Bungalows
593,Tecoanapa,MX,78.85,overcast clouds,16.5167,-98.75,Hotel Manglares
595,Jiaohe,CN,81.21,overcast clouds,43.7286,127.3447,Home Inn Fashion Hotel
596,Canmore,CA,82.51,scattered clouds,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
600,Chishtian Mandi,PK,89.96,broken clouds,29.8,72.8667,Boys Hostel
602,Progreso,MX,76.1,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
608,Nouakchott,MR,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
610,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
611,Sibolga,ID,83.37,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
618,Port-Gentil,GA,75.07,overcast clouds,-0.7193,8.7815,Fengshui Residence
625,Dakar,SN,81.48,broken clouds,14.6937,-17.4441,Novotel Dakar
626,Bilma,NE,83.79,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
628,Grand Island,US,82.69,broken clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
630,Puerto El Triunfo,SV,83.32,broken clouds,13.2833,-88.55,Hotel Jardin
632,Mindelo,CV,81.95,scattered clouds,16.8901,-24.9804,Hotel Gaudi
640,Gazli,UZ,84.58,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
645,Kudahuvadhoo,MV,82.4,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
648,Carutapera,BR,75.13,overcast clouds,-1.195,-46.02,Lidera
651,Kharian,PK,79.75,scattered clouds,32.8149,73.8636,Sattarpura ستارپورہ
652,Gizo,SB,84.61,clear sky,-8.103,156.8419,Imagination Island
655,Chuncheng,CN,89.8,clear sky,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
