City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Iberia,US,29.9502,-91.7507,80.98,78,20,0.0,few clouds
158,Nenjiang,CN,49.1833,125.2167,73.35,87,100,7.78,light rain
159,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,few clouds
160,Palmer,US,42.1584,-72.3287,75.06,74,75,3.44,broken clouds
161,Makarov,RU,48.6333,142.8,62.06,82,78,7.47,broken clouds
162,Honiara,SB,-9.4333,159.95,86.88,64,100,8.72,overcast clouds
163,Kombissiri,BF,12.0656,-1.3375,76.98,71,67,11.36,broken clouds
164,Horta,PT,38.5333,-28.6333,71.96,86,46,10.6,scattered clouds
165,Bambous Virieux,MU,-20.3428,57.7575,67.21,94,40,4.61,scattered clouds
166,Ponta Do Sol,PT,32.6667,-17.1,72.23,74,0,5.21,clear sky
167,Celestun,MX,20.8667,-90.4,82.09,76,88,12.86,overcast clouds
168,Cherskiy,RU,68.75,161.3,55.15,46,100,5.37,overcast clouds
169,Ojo Caliente,MX,22.5708,-102.2519,68.88,47,97,16.91,overcast clouds
170,Beringovskiy,RU,63.05,179.3167,48.7,92,100,2.89,overcast clouds
171,Muravlenko,RU,63.7898,74.523,57.6,61,9,9.1,clear sky
172,New Norfolk,AU,-42.7826,147.0587,52.72,77,95,1.01,overcast clouds
173,Kutno,PL,52.2306,19.3641,53.1,73,0,3.85,clear sky
174,Vestmannaeyjar,IS,63.4427,-20.2734,52.21,80,86,15.12,overcast clouds
175,Ostrovnoy,RU,68.0531,39.5131,59.9,86,58,15.86,broken clouds
176,Bara,NG,10.3744,10.7288,70.48,97,100,6.87,overcast clouds
177,Lorengau,PG,-2.0226,147.2712,84.63,72,50,12.37,scattered clouds
178,Agadir,MA,30.4202,-9.5982,70.25,73,0,4.43,clear sky
179,Inhambane,MZ,-23.865,35.3833,63.48,80,0,4.97,clear sky
180,Leningradskiy,RU,69.3833,178.4167,39.29,80,96,6.35,overcast clouds
181,Olkhovka,RU,53.2115,60.6069,56.55,75,0,11.07,clear sky
182,Saint-Leu,RE,-21.15,55.2833,68.83,74,17,4.47,few clouds
